Title,Rating,Factoid,Budget (Millions),Box Office Earnings (Millions),Rotten Tomatoes Score
Critters,6,A fun low-budget sci-fi/horror creature feature.,2.5,13,64
Darkman,7,Sam Raimi's superhero film known for its stylistic visuals and makeup effects.,14,48,68
Starship Troopers,7,A satirical sci-fi film with strong political commentary on militarism.,105,121,65
Bill & Ted's Excellent Adventure,7,The film popularized time travel comedy in the late 80s.,10,40,83
Battle Los Angeles,6,A military sci-fi film portraying a large-scale alien invasion of Earth.,70,211,33
Johnny Mnemonic,5,"Based on a William Gibson story, it was an early cyberpunk film despite mixed reviews.",26,20,47
Equilibrium,6,Known for its 'gun kata' martial arts sequences.,20,5,72
Jaws,10,Steven Spielberg's thriller is considered the first summer blockbuster.,9,470,98
Full Metal Jacket,9,Kubrick's Vietnam War film is known for its realism and impact.,16,46,91
Memento,9,"Christopher Nolan's breakthrough film, told in a nonlinear narrative.",9,40,93
Ghostbusters,9,The film's theme song became a top 10 hit and is still widely recognized.,30,295,97
The Princess Bride,8,"A cult classic blending fantasy, romance, and comedy.",16,30,97
The Goonies,7,"Steven Spielberg was executive producer, giving it a distinct adventure feel.",19,61,76
First Blood,8,The film launched the Rambo franchise starring Sylvester Stallone.,15,50,86
The Godfather,10,"Regarded as one of the greatest films ever made, it won 3 Oscars.",6,246,98
Rush Hour,7,This buddy cop film paired Jackie Chan and Chris Tucker to great effect.,33,244,62
Point Break,7,Known for its surfing and skydiving stunts.,24,83,70
Hot Fuzz,8,A British action-comedy satire that's part of the Cornetto Trilogy.,12,80,91
Shrek,9,The first film to win the Academy Award for Best Animated Feature.,60,484,88
Donnie Darko,8,A cult classic known for its complex narrative involving time travel.,4.5,7.5,87
The Truman Show,9,The film predicted the rise of reality TV before it became mainstream.,60,264,95
Fight Club,9,Its satirical take on consumer culture became hugely influential.,63,101,79
The Shawshank Redemption,10,"Although not a huge box office hit initially, it became one of the most beloved films ever.",25,58,91
Pulp Fiction,10,Quentin Tarantino's influential film revitalized indie cinema in the 1990s.,8,213,92
The Big Lebowski,8,This cult comedy is famous for its unique characters and quotable dialogue.,15,46,83
Forrest Gump,10,Won 6 Oscars and is known for its innovative visual effects integrating Tom Hanks with historical footage.,55,678,71
Jurassic Park,10,Set new standards in CGI and animatronics for blockbuster films.,63,1070,92
Saving Private Ryan,10,Famous for its realistic portrayal of WWII's D-Day invasion.,70,482,93
The Dark Knight,10,Heath Ledger's Joker performance posthumously won an Oscar.,185,1005,94
Inglourious Basterds,9,Quentin Tarantino's alternate history WWII film is known for its sharp dialogue.,70,321,89
Avatar,9,Became the highest-grossing film worldwide until surpassed by Avengers: Endgame.,237,2790,82
Guardians of the Galaxy,8,Known for its 70s and 80s soundtrack and humor in the Marvel Cinematic Universe.,232,773,91
